Key,Block Number,Road Name,Property City,Property State,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
37,400,Warren Cres,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,12300,4705,269500,472900,269500,449900,269500,449900,Jun 17 2013,715000
38,300,Fairfax Av,Norfolk                         ,VA  ,23507,150690,Commercial,13002,5733,234000,472700,234000,472700,234000,472700,Aug 20 2001,900000
39,500,Spotswood Av,Norfolk                         ,VA  ,23517,150300,Duplex,6719,3047,256600,242900,256600,242900,256600,242900,May 27 1992,0
41,500,Spotswood Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,4000,1818,154400,158500,154400,158500,154400,158500,Apr 15 2013,0
42,500,Mowbray Arch,Norfolk                         ,VA  ,23507,150650,Single Family - Detached,7200,4638,253600,499400,362300,625500,362300,625500,Nov 12 2015,688000
43,500,Westover Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,4688,2554,162600,201500,162600,201500,162600,201500,Sep  2 1983,65000
44,600,Baldwin Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5250,3203,203300,203200,203300,203200,203300,203200,Jun 12 2007,430000
45,600,Shirley Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3938,2550,152500,282700,152500,282700,152500,282700,Dec 24 2013,350000
46,600,W Olney ,Norfolk                         ,VA  ,23507,150680,Condominium,0,1426,29900,186500,29900,186500,29900,186500,Oct  3 2013,222500
47,700,Stockley Gdns,Norfolk                         ,VA  ,23507,150300,Fourplex,3125,3478,108000,252700,108000,252700,108000,252700,Aug 23 2013,0
49,300,Fairfax Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,2568,90500,345600,90500,329200,90500,329200,Aug 14 2000,271000
50,300,Fairfax Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,2696,90500,328800,90500,313200,90500,313200,Nov 20 2006,475000
51,700,Botetourt St,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,3600,2520,103000,337300,103000,321200,103000,321200,May  8 2015,450000
52,700,Shirley Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,6573,2640,254500,268400,254500,268400,254500,268400,Jun  3 2008,555000
53,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2790,85400,366600,85400,365800,85400,365800,Aug 26 2015,500000
54,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2593,67500,345600,67500,345600,67500,345600,Dec 14 2012,515000
55,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2593,67000,344000,67000,344000,67000,344000,May 12 2011,473660
57,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,3100,73300,379600,73300,379600,73300,379600,Oct 25 2011,0
58,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,3100,67000,419700,67000,419700,67000,419700,May 31 2012,539000
59,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2593,63800,332200,63800,332200,63800,332200,Aug 25 2000,249000
60,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2593,70600,332200,70600,332200,70600,332200,Sep 29 1995,197500
61,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2535,70600,329700,70600,329700,70600,329700,Dec 19 2014,385000
62,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2790,111200,352900,111200,352900,111200,352900,Oct 29 2002,359900
63,300,Fairfax Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,2772,90500,323000,90500,306900,90500,306900,Jul 14 2003,400000
65,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Dec 11 2012,0
66,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jan 28 2010,180000
67,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Oct 16 2014,136000
68,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jul  2 2012,0
69,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jun 29 2009,185000
70,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Aug 27 2003,58000
71,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Mar  9 2016,128000
73,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Apr 25 2003,58000
74,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Jan 23 2008,0
75,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Aug 31 2004,121000
76,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jun  4 2002,55000
77,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Feb 27 2006,0
78,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,May  7 1990,0
79,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jan 28 2005,0
81,900,Gates Av ,Norfolk                         ,VA  ,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jul 15 1994,35000
82,500,Spotswood Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5750,1711,210100,193800,210100,175200,210100,175200,Apr 10 2015,0
83,600,Baldwin Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3938,2302,152500,208300,152500,208300,152500,208300,Jul  3 1991,126200
84,600,Colonial Av,Norfolk                         ,VA  ,23507,150600,Single Family - Attached,0,2392,94500,282400,94500,268300,94500,268300,Nov  7 2005,0
85,600,Colonial Av,Norfolk                         ,VA  ,23507,150600,Single Family - Attached,0,2602,75000,312300,75000,296700,75000,296700,Aug 20 2013,281601
86,700,Stockley Gdns,Norfolk                         ,VA  ,23507,150390,Apartment,3288,3792,108500,213400,108500,205500,108500,205500,Jul 24 2015,0
87,500,Pembroke Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,7800,5879,280000,636100,280000,604400,280000,604400,Jul 12 2013,815000
89,800,Graydon Av,Norfolk                         ,VA  ,23507,150100,Single Family - Detached,0,4466,231500,361400,231500,361400,231500,361400,Apr  2 2012,660000
90,400,W Olney ,Norfolk                         ,VA  ,23507,150690,Commercial,18745,NULL,258600,707200,258600,707200,258600,707200,Nov 21 2002,620000
91,800,W Princess ,Norfolk                         ,VA  ,23517,150180,Condominium,0,1225,15900,101100,15900,101100,15900,101100,Sep  8 2004,190000
92,1200,Botetourt Gdns,Norfolk                         ,VA  ,23517,150400,Single Family - Attached,0,2698,86200,318000,86200,318000,86200,318000,Sep 15 2005,460000
93,2000,Colley Av,Norfolk                         ,VA  ,23517,150390,Commercial,10474,NULL,240000,232400,240000,180500,240000,180500,Mar 18 2009,0
94,800,Brandon Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3200,1518,105800,131400,105800,131400,105800,131400,Jan  9 2009,0
95,800,Baldwin Av,Norfolk                         ,VA  ,23517,150390,Apartment,6701,NULL,247700,195200,247700,195200,247700,195200,Jan 11 2006,595000
97,900,Shirley Av,Norfolk                         ,VA  ,23517,150390,Apartment,17596,NULL,527900,590200,527900,456100,527900,456100,May 31 2005,3004000
98,1700,Colley Av,Norfolk                         ,VA  ,23517,150390,Commercial,7924,NULL,180000,753100,180000,694800,180000,694800,Dec  7 1998,0
99,800,Brandon Av,Norfolk                         ,VA  ,23517,150390,Commercial,7990,NULL,101300,35900,101300,35900,101300,35900,Dec  7 1998,0
100,800,Spotswood Av,Norfolk                         ,VA  ,23517,150390,Commercial,5192,NULL,67500,8800,67500,8800,67500,8800,Mar  8 2005,0
101,1500,Colley Av,Norfolk                         ,VA  ,23517,150390,Commercial,10344,NULL,248300,521800,248300,521800,248300,521800,Mar  8 2005,0
102,800,Spotswood Av,Norfolk                         ,VA  ,23517,150390,Vacant Land,2596,NULL,33800,0,33800,0,33800,0,Mar  8 2005,0
103,1600,Colley Av,Norfolk                         ,VA  ,23517,150390,Commercial,16144,NULL,360000,781600,360000,781600,360000,781600,Dec  7 1998,0
105,800,Spotswood Av,Norfolk                         ,VA  ,23517,150390,Vacant Land,2645,NULL,33800,0,33800,0,33800,0,Dec  7 1998,0
106,800,Spotswood Av,Norfolk                         ,VA  ,23517,150390,Vacant Land,2426,NULL,33800,0,33800,0,33800,0,Dec  7 1998,0
107,700,W Princess ,Norfolk                         ,VA  ,23517,150390,Apartment,7049,NULL,272000,866900,272000,872300,272000,872300,Jun 13 2016,1247500
108,700,W Princess ,Norfolk                         ,VA  ,23517,150390,Apartment,10770,NULL,366000,730800,366000,730800,366000,730800,Nov 29 2012,950000
109,600,Westover Av,Norfolk                         ,VA  ,23507,150390,Apartment,10126,NULL,303800,1176300,303800,1019400,303800,1019400,Jun 29 2015,0
110,400,Fairfax Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,5073,269500,528200,269500,501800,269500,501800,Jan 14 2001,466000
111,700,Baldwin Av,Norfolk                         ,VA  ,23517,150390,Apartment,12253,NULL,453400,690300,453400,735100,453400,735100,Jun 23 1994,422500
113,600,Raleigh Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,4725,2315,164200,369800,164200,369800,164200,369800,Apr 30 1999,192000
114,500,Mowbray Arch,Norfolk                         ,VA  ,23507,150650,Single Family - Detached,0,3397,146600,386800,146600,431300,146600,431300,Jul  8 2008,0
115,400,W Princess ,Norfolk                         ,VA  ,23517,150400,Single Family - Attached,2800,1648,97300,206100,97300,206100,97300,206100,Nov 30 1987,141900
116,900,Colonial Av,Norfolk                         ,VA  ,23507,150400,Duplex,0,3173,59500,234900,59500,234900,59500,234900,Jul 29 2009,335000
117,500,Westover Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,7812,5812,271000,231200,271000,231200,271000,231200,Mar 11 2010,330750
118,1300,Stockley Gdns,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,7000,3496,279400,160800,279400,160800,279400,160800,Oct 15 1965,13500
119,500,Boissevain Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,3125,2714,93600,184400,93600,184400,93600,184400,Sep  2 2011,260000
121,400,W Princess ,Norfolk                         ,VA  ,23517,150400,Single Family - Attached,0,1695,72300,232000,72300,232000,72300,232000,Mar 31 2014,340000
122,1300,Stockley Gdns,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3410,2239,128000,302300,128000,302300,128000,302300,Apr  4 2012,370000
123,700,Baldwin Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,6573,3105,254500,308300,254500,308300,254500,308300,Jul 29 2005,668200
124,900,Woodrow Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3750,1820,121700,119300,121700,119300,121700,119300,Mar  8 2013,267750
125,1300,Colley Av,Norfolk                         ,VA  ,23517,150390,Commercial,2697,NULL,64700,232800,64700,217900,64700,217900,Oct 11 2010,0
126,1100,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Detached,8500,2094,289600,203600,289600,233200,289600,233200,Sep 24 2015,495000
127,500,Mowbray Arch,Norfolk                         ,VA  ,23507,150650,Single Family - Detached,0,2608,193200,361900,193200,403500,193200,403500,Nov 17 1998,315000
129,400,Raleigh Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,2400,2472,103000,245700,103000,245700,103000,245700,Sep  5 2013,0
130,700,Graydon Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,2600,3208,112900,307500,112900,307500,112900,307500,Jan  2 2013,458000
131,700,Shirley Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5250,2049,203300,283000,203300,283000,203300,283000,Dec  8 2015,0
132,600,Graydon Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,3300,3078,119200,305700,119200,305700,119200,305700,Aug 27 2014,405000
133,300,Westover Av,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,0,2416,86200,287400,86200,287400,86200,287400,Jan 23 2008,389000
134,600,Boissevain Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,3088,3096,108400,362500,108400,362500,108400,362500,Mar  2 2010,0
135,500,Redgate Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,5750,4198,210500,473600,210500,473600,210500,473600,Apr  5 2012,0
137,700,Westover Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,2288,3340,79800,338600,79800,338600,79800,338600,Jun 26 1992,0
138,700,Spotswood Av,Norfolk                         ,VA  ,23517,150390,Co-op,20197,NULL,706900,541100,706900,541100,706900,541100,Mar 14 1950,0
139,900,Harrington Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3750,2432,121000,217700,121000,217700,121000,217700,Nov 15 2012,325000
140,600,W Olney ,Norfolk                         ,VA  ,23510,150680,Condominium,0,1459,30600,189000,30600,189000,30600,189000,Aug 28 2013,235000
141,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2419,48400,494000,48400,463400,48400,463400,Jan  9 1987,264000
142,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2400,48000,497600,48000,466900,48000,466900,Mar 17 1993,270000
143,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2419,48400,493300,48400,462700,48400,462700,Oct 11 2011,499900
145,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2419,48400,493900,48400,463300,48400,463300,Apr 17 2014,0
146,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2400,48000,490100,48000,459700,48000,459700,Aug 10 2015,560000
147,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1953,39100,364800,39100,346000,39100,346000,Jun  7 2013,0
148,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1967,39300,365800,39300,346900,39300,346900,Jul 31 2014,387000
149,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1953,39100,363200,39100,344400,39100,344400,Oct 15 1986,219000
150,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1967,39300,366900,39300,348000,39300,348000,Jan 23 2015,0
151,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1953,39100,373600,39100,354800,39100,354800,Apr 21 2011,450000
153,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1744,34900,338600,34900,321600,34900,321600,Nov 25 2014,300000
154,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2483,49700,492800,49700,473300,49700,473300,Dec  3 2010,530000
155,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1744,34900,341200,34900,324200,34900,324200,Feb 10 2016,340000
156,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2483,49700,490200,49700,470700,49700,470700,May  5 2014,500000
157,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,1744,34900,340000,34900,323000,34900,323000,Apr  5 2015,0
158,1100,Botetourt Gdns ,Norfolk                         ,VA  ,23507,150480,Condominium,0,2483,49700,508900,49700,488700,49700,488700,Sep 17 2014,555000
159,900,Brandon Av,Norfolk                         ,VA  ,23517,150390,Apartment,12732,NULL,394700,928400,394700,793800,394700,793800,Aug 16 1990,0
161,500,Washington Park,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3655,2198,116600,168500,116600,168500,116600,168500,May  8 1986,0
162,800,W Princess ,Norfolk                         ,VA  ,23517,150180,Condominium,0,1225,15900,101100,15900,101100,15900,101100,Sep 15 2004,193500
163,500,Colonial Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,3172,72500,406600,72500,386300,72500,386300,Apr 17 2006,635000
164,500,Redgate Av,Norfolk                         ,VA  ,23507,150390,Apartment,3124,NULL,109300,216400,109300,208400,109300,208400,Jan  3 1990,103800
165,600,Redgate Av,Norfolk                         ,VA  ,23507,150390,Apartment,2999,3060,104900,224600,104900,216600,104900,216600,May  9 1991,0
166,1300,Debree Av,Norfolk                         ,VA  ,23517,150400,Single Family - Attached,3900,2121,122200,223100,122200,279700,122200,279700,Mar  9 2015,345000
167,400,W Princess ,Norfolk                         ,VA  ,23517,150400,Single Family - Attached,0,2613,152200,275300,152200,252600,152200,252600,May 22 2015,445000
169,600,Botetourt Gdns,Norfolk                         ,VA  ,23507,150400,Single Family - Detached,0,4204,309400,404200,309400,404200,309400,404200,Feb 16 1999,0
170,1000,Colonial Av ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1135,29500,180200,29500,168200,29500,168200,Jun 19 2014,205500
171,700,Baldwin Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,7390,3800,302800,501700,302800,501700,302800,501700,Aug  8 2013,0
172,700,Shirley Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,11500,5913,350300,530600,350300,528800,350300,528800,May 25 2004,900000
173,500,Pembroke Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,4729,4015,142500,481800,142500,457700,142500,457700,Nov 27 1985,192900
174,900,Harrington Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5000,2100,161600,183900,161600,183900,161600,183900,Sep 20 2004,400000
175,500,Mowbray Arch,Norfolk                         ,VA  ,23507,150650,Single Family - Detached,3600,3498,193200,445000,193200,496200,193200,496200,Jul 28 2016,499000
177,400,Westover Av,Norfolk                         ,VA  ,23507,150400,Single Family - Attached,4200,2615,117000,307200,117000,307200,117000,307200,Jun 16 2005,585000
178,500,Spotswood Av,Norfolk                         ,VA  ,23517,150300,Duplex,5375,4208,205100,203500,205100,203500,205100,203500,Aug 29 2006,415000
179,600,W Princess ,Norfolk                         ,VA  ,23517,150300,Duplex,4358,3372,168500,77700,168500,77700,168500,77700,Feb 14 2014,0
180,1100,Botetourt Gdns,Norfolk                         ,VA  ,23517,150400,Single Family - Detached,0,2569,259200,268100,259200,268100,259200,268100,Dec  1 1995,233000
181,700,Graydon Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,2760,3272,121700,277900,121700,277900,121700,277900,Jul 24 2009,458000
182,400,Pembroke Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,6024,108000,508800,108000,483300,108000,483300,May 13 2016,0
183,400,Pembroke Av,Norfolk                         ,VA  ,23507,150690,Apartment,0,4661,112500,487500,51500,548500,51500,548500,Jan  6 1995,0
185,800,Spotswood Av,Norfolk                         ,VA  ,23517,150300,Duplex,2500,2152,82700,162900,82700,162900,82700,162900,Apr 25 1986,0
186,1200,Stockley Gdns,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,5500,3664,219200,372400,219200,372400,219200,372400,Mar 31 2010,595000
187,800,Baldwin Av,Norfolk                         ,VA  ,23517,150390,Commercial,3811,3193,87300,246100,87300,246100,87300,246100,Apr 23 2008,0
188,1200,Botetourt Gdns,Norfolk                         ,VA  ,23517,150400,Single Family - Detached,0,2816,229000,296900,229000,296900,229000,296900,Sep 20 2012,0
189,700,Baldwin Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,8967,2998,347300,354200,347300,354200,347300,354200,Nov 30 2010,0
190,400,Raleigh Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,2600,2472,95300,242800,95300,242800,95300,242800,Jun 16 2006,438000
191,700,Redgate Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,3125,2246,108400,241000,108400,241000,108400,241000,Aug 31 1992,138000
193,600,Shirley Av,Norfolk                         ,VA  ,23517,150300,Vacant Land,3938,NULL,152500,0,152500,0,152500,0,Apr 26 2016,829000
194,600,Shirley Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5750,3020,210100,248600,210100,248600,210100,248600,Dec 28 1973,41500
195,500,W Olney ,Norfolk                         ,VA  ,23507,150600,Single Family - Attached,0,2125,72500,209900,72500,199400,72500,199400,Apr 28 2005,356800
196,800,W Princess ,Norfolk                         ,VA  ,23517,150180,Condominium,0,1171,15200,95900,15200,95900,15200,95900,Feb 22 2008,195000
197,700,Graydon Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,2876,2346,125500,244700,125500,244700,125500,244700,Sep 10 2001,249000
198,800,Botetourt Gdns,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,1500,1867,69400,246500,69400,246500,69400,246500,Mar 17 2016,345000
199,600,Redgate Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,3125,2892,108400,295500,108400,295500,108400,295500,Jan 13 1992,159900
201,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Apr  7 2010,270000
202,600,Graydon Av,Norfolk                         ,VA  ,23507,150390,Apartment,3810,NULL,174900,238900,174900,228800,174900,228800,Mar 13 1978,64000
203,600,Baldwin Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5250,3115,203300,295900,203300,295900,203300,295900,Jan  4 2013,491000
204,800,Brandon Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3200,1730,105800,203700,105800,203700,105800,203700,Nov 26 1986,91500
205,300,Fairfax Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,3200,3281,90500,334700,90500,318200,90500,318200,Dec 30 2009,500000
206,900,Harrington Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5000,2080,161600,137200,161600,137200,161600,137200,Feb 26 2010,328000
207,500,Fairfax Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,5100,3715,142500,446000,142500,423900,142500,423900,Mar 28 2007,750000
209,400,Boissevain Av,Norfolk                         ,VA  ,23507,150600,Single Family - Attached,3486,2522,128500,236100,128500,224400,128500,224400,Feb 21 2016,0
210,800,Colonial Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,2500,1994,87700,231000,87700,231000,87700,231000,Nov 16 2012,257250
211,700,W Princess ,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,4300,1932,175900,186700,175900,186700,175900,186700,Nov 28 2005,0
